feature,importance
b_rc,0.6558149464812374
b_train_rc,0.20586494155085275
b_train_avg,0.04018996681803598
u_train_avg,0.02962818406153932
u_avg,0.02370975248486013
u_rc,0.018421427715685983
u_train_rc,0.012424391726174945
b_stars,0.008561229737652835
u_fans,0.005385159423960695
has_community,0.0
