city,category,n_businesses,mean_jaccard,n_pairs
Willow Grove,Department Stores,8,0.0762,10
Garnet Valley,Restaurants,10,0.0762,14
West Chester,Books,5,0.0761,4
West Chester,Music & Video,5,0.0761,4
West Chester,Mags,5,0.0761,4
St. Petersburg,Shopping,87,0.0759,109
Brandon,Discount Store,5,0.0759,4
Harleysville,Beauty & Spas,7,0.0756,6
Philadelphia,Public Services & Government,90,0.0755,180
Clearwater,Shopping,254,0.0754,465
Hatboro,Italian,5,0.0753,8
Tampa,Electronics,18,0.0753,15
King of Prussia,Hair Removal,7,0.0752,7
Philadelphia,Vinyl Records,19,0.0752,47
Clearwater,Cosmetics & Beauty Supply,8,0.0752,5
West Chester,Health & Medical,20,0.0751,18
Pottstown,Local Services,8,0.0751,5
Morrisville,Automotive,5,0.0751,4
Palm Harbor,Breweries,5,0.0751,12
New Port Richey,Pet Services,6,0.0749,7
Saint Petersburg,Doctors,15,0.0749,11
Quakertown,Food,12,0.0748,16
Spring Hill,Pet Services,6,0.0748,5
Penndel,Pizza,5,0.0747,10
Clearwater,Professional Services,12,0.0746,9
Tampa,Mobile Phones,9,0.0746,6
Clearwater,Financial Services,10,0.0746,7
Philadelphia,Periodontists,5,0.0745,5
Norristown,Health & Medical,9,0.0745,9
Saint Petersburg,Shopping,161,0.0745,255
Riverview,Coffee & Tea,29,0.0743,37
Norristown,Shopping,29,0.0743,30
Abington,Food,8,0.0743,8
Madeira Beach,Shopping,10,0.0743,9
Plant City,Food,48,0.0742,132
Newtown,Fashion,5,0.0742,3
Tampa,Medical Centers,26,0.0742,23
Tarpon Springs,Sandwiches,11,0.074,13
New Port Richey,Home Services,24,0.074,24
Philadelphia,Men's Clothing,84,0.0739,114
Bryn Mawr,Shopping,19,0.0739,20
Dunedin,Fast Food,7,0.0738,12
Norristown,Grocery,7,0.0738,8
Spring Hill,Pets,12,0.0738,10
Philadelphia,Convenience Stores,119,0.0737,151
Lansdale,Automotive,11,0.0737,13
St Petersburg,Shopping,5,0.0736,5
Clearwater,Tobacco Shops,7,0.0736,8
Riverview,Food,105,0.0736,265
Pottstown,Burgers,15,0.0735,26
Philadelphia,Donuts,48,0.0733,41
Pottstown,Cheesesteaks,6,0.0733,6
Levittown,Food,36,0.0732,48
Tampa,Packing Supplies,5,0.0732,4
Tampa,Stadiums & Arenas,5,0.0732,4
Levittown,American (Traditional),9,0.0731,9
Oldsmar,Local Services,6,0.0731,6
Phoenixville,Auto Repair,10,0.073,8
Tampa,Banks & Credit Unions,22,0.073,16
Tarpon Springs,Beauty & Spas,11,0.0729,11
Wayne,Active Life,6,0.0729,7
Glenolden,Restaurants,21,0.0728,47
Philadelphia,Fashion,396,0.0728,867
Land O Lakes,Automotive,5,0.0728,6
Philadelphia,Shared Office Spaces,6,0.0726,7
Plymouth Meeting,Shopping,24,0.0726,32
Philadelphia,Women's Clothing,159,0.0725,322
Phoenixville,Shopping,39,0.0725,54
Philadelphia,Antiques,27,0.0724,43
Philadelphia,Car Wash,11,0.0724,7
Saint Petersburg,Grocery,20,0.0724,30
Pinellas Park,Shopping,30,0.0724,34
Bryn Mawr,Food,36,0.0723,97
Fairless Hills,Shopping,18,0.0723,22
Langhorne,Food,32,0.0723,43
Largo,Tobacco Shops,5,0.0723,8
Brandon,Real Estate,8,0.0722,9
Spring Hill,Veterinarians,6,0.0722,5
Tampa,Cosmetics & Beauty Supply,35,0.0722,29
Clearwater,Golf,5,0.072,16
Philadelphia,Libraries,6,0.072,4
Tampa,Dog Parks,14,0.0719,18
Palm Harbor,Local Services,18,0.0719,16
Port Richey,Arts & Entertainment,5,0.0719,6
Palm Harbor,Ice Cream & Frozen Yogurt,7,0.0719,8
Plant City,Fast Food,27,0.0719,47
Royersford,Nightlife,6,0.0718,4
Philadelphia,Drugstores,60,0.0718,69
Tampa,Local Flavor,33,0.0718,35
Royersford,Bars,6,0.0718,4
King of Prussia,Shopping,91,0.0717,131
St. Petersburg,Arts & Entertainment,28,0.0717,27
Philadelphia,Local Flavor,104,0.0716,150
Chalfont,Pets,5,0.0716,4
Prospect Park,Restaurants,26,0.0716,71
Morrisville,Pizza,8,0.0716,16
Lutz,Coffee & Tea,10,0.0715,8
Levittown,Restaurants,99,0.0715,316
Media,Fashion,8,0.0715,5
Telford,Restaurants,11,0.0714,23
Doylestown,Home Services,18,0.0714,15
Bridgeport,Food,6,0.0713,6
Limerick,Shopping,5,0.0712,4
Spring Hill,Hair Salons,7,0.0712,7
Riverview,Automotive,29,0.0712,31
Lansdale,Health & Medical,19,0.0711,18
Exton,Health & Medical,22,0.0711,19
Philadelphia,Self Storage,10,0.0711,15
Seminole,Food,33,0.071,56
Brandon,Local Services,20,0.071,14
Bristol,Food,21,0.071,25
Tampa,Breweries,30,0.071,117
Yardley,Active Life,5,0.071,3
Phoenixville,Automotive,12,0.0709,10
Bensalem,Fast Food,11,0.0709,11
Limerick,Health & Medical,7,0.0709,6
Swarthmore,Food,5,0.0709,6
West Chester,Doctors,5,0.0709,4
Wesley Chapel,Home Services,14,0.0709,13
Newtown,Active Life,6,0.0708,5
West Chester,Fashion,6,0.0708,6
Ardmore,Coffee & Tea,9,0.0708,9
Limerick,Active Life,5,0.0708,9
Newtown Square,Food,26,0.0708,28
Brandon,Electronics,7,0.0708,5
Newtown,Fitness & Instruction,6,0.0708,5
Ruskin,Fast Food,5,0.0707,4
Morrisville,Restaurants,46,0.0707,175
Wesley Chapel,Dentists,8,0.0707,10
Royersford,Sandwiches,8,0.0706,6
Havertown,Nightlife,11,0.0704,22
Havertown,Bars,11,0.0704,22
Philadelphia,Arts & Entertainment,422,0.0703,987
Saint Petersburg,Health & Medical,91,0.0702,95
Philadelphia,Thrift Stores,22,0.0702,34
Pottstown,Food,51,0.0701,102
Huntingdon Valley,Local Services,5,0.07,4
Largo,Barbers,6,0.0699,5
Saint Petersburg,Home & Garden,23,0.0699,23
Tampa,Museums,7,0.0699,10
Clifton Heights,Restaurants,25,0.0698,49
Montgomeryville,Shopping,7,0.0698,6
Brandon,Home Services,37,0.0698,41
Warminster,Shopping,13,0.0698,11
Dover,Automotive,5,0.0697,6
St. Petersburg,Used,6,0.0697,7
Philadelphia,Roofing,15,0.0697,14
St. Petersburg,Vintage & Consignment,6,0.0697,7
King of Prussia,Women's Clothing,15,0.0696,16
Saint Petersburg,Venues & Event Spaces,7,0.0696,5
Apollo Beach,Active Life,5,0.0696,3
Trevose,Fast Food,5,0.0696,6
Philadelphia,Home Decor,59,0.0694,64
Philadelphia,Street Vendors,40,0.0694,83
Wyncote,Food,5,0.0694,8
Morrisville,Italian,8,0.0694,14
Souderton,Restaurants,36,0.0694,96
Riverview,Mexican,5,0.0692,4
New Port Richey,Automotive,24,0.0692,23
Philadelphia,Used,45,0.0692,86
Upper Darby,Korean,9,0.0692,17
Philadelphia,Vintage & Consignment,45,0.0692,86
Levittown,Shopping,18,0.0691,19
Tampa,Food Trucks,101,0.0691,142
Saint Petersburg,Dentists,12,0.069,8
Norristown,Food,40,0.069,43
Lithia,Italian,6,0.0689,6
Tampa,Landscaping,7,0.0688,6
Philadelphia,Shopping,1851,0.0688,5289
Tampa,Ethnic Food,23,0.0688,32
Tampa,Building Supplies,17,0.0688,14
New Port Richey,Beauty & Spas,40,0.0688,41
Palm Harbor,Active Life,7,0.0688,5
Philadelphia,Parks,60,0.0688,98
West Chester,Shopping,51,0.0688,64
Philadelphia,Department Stores,45,0.0687,55
West Chester,Auto Repair,15,0.0686,14
Upper Darby,American (Traditional),5,0.0685,4
Tampa,Thrift Stores,13,0.0685,22
Royersford,Beauty & Spas,12,0.0684,12
Brandon,Active Life,13,0.0684,14
St. Petersburg,Home & Garden,12,0.0683,13
Dresher,Food,10,0.0683,13
Zephyrhills,Fast Food,5,0.0682,5
Philadelphia,Accessories,73,0.0682,83
Prospect Park,Pizza,5,0.0682,8
Clearwater,Yoga,8,0.068,6
Folcroft,Restaurants,9,0.068,11
Paoli,Food,14,0.068,28
Havertown,Automotive,11,0.068,10
Clearwater,Health & Medical,76,0.0679,74
Philadelphia,Professional Sports Teams,5,0.0679,9
Royersford,American (Traditional),5,0.0679,7
Seminole,Health & Medical,21,0.0679,24
Blue Bell,Automotive,5,0.0678,4
Brandon,Grocery,15,0.0678,13
Bensalem,Hair Salons,5,0.0678,6
Langhorne,Automotive,16,0.0678,17
Elkins Park,Food,16,0.0678,25
Bryn Mawr,Health & Medical,6,0.0678,5
Port Richey,Auto Repair,5,0.0678,4
Norristown,Fast Food,6,0.0677,6
King of Prussia,Fashion,26,0.0676,33
Doylestown,Sandwiches,11,0.0676,12
Tampa,Appliances,12,0.0676,12
Philadelphia,Stadiums & Arenas,5,0.0675,8
St. Petersburg,Real Estate,6,0.0675,5
Royersford,Fast Food,8,0.0675,12
Warminster,Food,24,0.0674,38
Pinellas Park,Local Services,5,0.0674,5
Tampa,Music & Video,12,0.0673,12
Plymouth Meeting,Fashion,8,0.0673,6
Tampa,Books,12,0.0673,12
Tampa,Mags,12,0.0673,12
Sun City Center,Food,9,0.0673,15
King Of Prussia,Shopping,17,0.0672,18
Ardmore,Wine & Spirits,6,0.0672,8
Ardmore,Beer,6,0.0672,8
Tampa,Insurance,6,0.0672,5
Philadelphia,Art Supplies,10,0.0672,17
Odessa,Restaurants,24,0.0672,40
Fairless Hills,Nightlife,5,0.0672,6
Warrington,Grocery,6,0.0672,3
Saint Petersburg,Beer,9,0.0672,9
Saint Petersburg,Wine & Spirits,9,0.0672,9
Trinity,Health & Medical,13,0.0671,10
Plant City,Sandwiches,9,0.0671,12
Bensalem,Health & Medical,7,0.0671,5
Flourtown,Food,11,0.0671,22
Tarpon Springs,Specialty Food,6,0.067,5
Levittown,Breakfast & Brunch,5,0.067,6
Conshohocken,Fitness & Instruction,5,0.067,5
